time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2772, 1798, 9.452309, -0.984017, 1.113304, 0.598208, -0.030377, 0.027712, 23.400589
2782, 1402, 9.404425, -1.122881, 0.768539, 0.525464, -0.015988, 0.015721, 23.379999
2792, 1433, 9.342175, -1.197101, 0.588974, 0.452453, 0.033574, -0.005063, 23.397648
2802, 1297, 9.390059, -1.170765, 0.660800, 0.392233, 0.085002, -0.022383, 23.385881
2812, 1267, 9.445126, -1.146823, 0.962469, 0.342138, 0.110315, -0.032242, 23.394707
2822, 1408, 9.428367, -1.039083, 1.127669, 0.290977, 0.095660, -0.019718, 23.388824
2832, 1442, 9.394848, -0.916979, 0.936133, 0.232888, 0.080205, -0.006395, 23.394707
2842, 1403, 9.406818, -0.763750, 0.622492, 0.177997, 0.106585, 0.015455, 23.382940
2852, 1408, 9.521740, -0.663194, 0.433351, 0.124971, 0.177464, 0.019718, 23.388824
2862, 1470, 9.674969, -0.627281, 0.529119, 0.084735, 0.256070, 0.006662, 23.382940
2872, 1472, 9.828198, -0.512359, 0.847547, 0.064217, 0.297639, -0.000799, 23.397648
2882, 1410, 9.909601, -0.380678, 1.185130, 0.062619, 0.274190, 0.003198, 23.394707
2892, 1495, 9.883265, -0.349553, 1.307234, 0.074876, 0.196383, 0.013323, 23.382940
2902, 1461, 9.775525, -0.421380, 1.127669, 0.078340, 0.112980, 0.023449, 23.391766
2912, 1600, 9.600749, -0.584185, 0.797269, 0.051694, 0.087133, 0.025314, 23.406471
2922, 1459, 9.416395, -0.672771, 0.497994, -0.002665, 0.146821, 0.020518, 23.391766
2932, 1631, 9.409213, -0.622492, 0.521936, -0.064750, 0.278187, 0.022649, 23.388824
2942, 1712, 9.502586, -0.423774, 0.797269, -0.100989, 0.438064, 0.009593, 23.382940
2952, 2160, 9.789890, -0.062249, 1.304840, -0.096459, 0.570763, 0.015188, 23.391766
2962, 2119, 10.189722, 0.232238, 1.833959, -0.032508, 0.597675, 0.014389, 23.385881
2972, 2480, 10.606314, 0.323217, 2.164358, 0.045565, 0.494288, 0.007994, 23.394707
2982, 1792, 10.785878, 0.205901, 2.109292, 0.095127, 0.305366, -0.003464, 23.388824
2992, 1703, 10.668563, -0.011971, 1.742979, 0.097525, 0.126570, -0.027712, 23.412354
3002, 1723, 10.388441, -0.143652, 1.417367, 0.069547, 0.053026, -0.045032, 23.403530
3012, 1721, 10.170568, -0.251391, 1.225831, 0.033308, 0.081538, -0.063152, 23.394707
3022, 1677, 10.108319, -0.282516, 1.266533, -0.014922, 0.158012, -0.081271, 23.385881
3032, 1666, 10.196905, -0.210690, 1.424550, -0.040236, 0.217966, -0.099390, 23.400589
3042, 1535, 10.338163, -0.074220, 1.628057, -0.027179, 0.213436, -0.110582, 23.388824
3052, 1633, 10.433931, -0.021548, 1.628057, 0.009859, 0.148686, -0.120441, 23.382940
3062, 1630, 10.395624, -0.021548, 1.563414, 0.046631, 0.067948, -0.131899, 23.406471
3072, 1584, 10.235212, -0.033519, 1.419762, 0.055691, 0.005596, -0.137761, 23.400589
3082, 1658, 9.993398, -0.057461, 1.340753, 0.030110, -0.023715, -0.139360, 23.394707
3092, 1598, 9.794679, -0.090980, 1.338359, -0.009060, -0.021850, -0.134830, 23.385881
3102, 1576, 9.658210, -0.079009, 1.319205, -0.038637, -0.005862, -0.129234, 23.382940
3112, 1606, 9.600749, -0.083797, 1.312023, -0.050095, 0.012524, -0.123106, 23.379999
3122, 1577, 9.593566, -0.146046, 1.249773, -0.053559, 0.025047, -0.117243, 23.403530
3132, 1457, 9.586384, -0.181959, 1.173159, -0.058888, 0.034907, -0.109516, 23.403530
3142, 1661, 9.579201, -0.234632, 1.130063, -0.071412, 0.049296, -0.101789, 23.397648
3152, 1506, 9.560047, -0.268151, 1.139640, -0.093262, 0.057822, -0.088199, 23.385881
3162, 1619, 9.497798, -0.275333, 1.199495, -0.117776, 0.061286, -0.073277, 23.388824
3172, 1611, 9.457097, -0.234632, 1.230620, -0.129767, 0.068747, -0.062086, 23.394707
3182, 1600, 9.457097, -0.196325, 1.261744, -0.122573, 0.088998, -0.057289, 23.391766
3192, 1659, 9.504981, -0.169988, 1.367089, -0.107118, 0.110049, -0.055691, 23.421177
3202, 1752, 9.607931, -0.114922, 1.587356, -0.096193, 0.113247, -0.049029, 23.415295
3212, 1710, 9.713276, -0.033519, 1.857901, -0.079672, 0.080738, -0.034907, 23.412354
3222, 1673, 9.804255, -0.021548, 2.013524, -0.063951, 0.011191, -0.031443, 23.412354
3232, 1581, 9.900024, 0.076614, 1.999158, -0.056757, -0.048230, -0.006395, 23.400589
3242, 1571, 9.967062, 0.098162, 1.881842, -0.053292, -0.089265, 0.007461, 23.391766
3252, 1520, 10.053253, 0.055067, 1.663970, -0.073011, -0.101256, 0.012524, 23.400589
3262, 1574, 10.115502, 0.043096, 1.527501, -0.104453, -0.084735, 0.007727, 23.400589
3272, 1535, 10.184934, 0.110133, 1.522712, -0.130567, -0.064484, -0.005063, 23.415295
3282, 1571, 10.247183, 0.222661, 1.592144, -0.129501, -0.061553, -0.016787, 23.409412
3292, 1599, 10.247183, 0.270545, 1.630451, -0.096992, -0.085268, -0.023982, 23.412354
3302, 1456, 10.237606, 0.256180, 1.632846, -0.062619, -0.127103, -0.028778, 23.415295
3312, 1504, 10.165780, 0.184354, 1.556231, -0.055424, -0.174799, -0.034107, 23.397648
3322, 2053, 10.041282, 0.134075, 1.450886, -0.056757, -0.212637, -0.041568, 23.406471
3332, 2750, 9.880871, 0.102951, 1.328782, -0.047697, -0.233421, -0.045299, 23.406471
3342, 3461, 9.727641, 0.050278, 1.098939, -0.036239, -0.237685, -0.041835, 23.409412
3352, 2559, 9.574412, -0.023942, 0.797269, -0.048230, -0.225694, -0.031443, 23.427059
3362, 2247, 9.495404, -0.174777, 0.442927, -0.091130, -0.187856, -0.027712, 23.418236
3372, 1712, 9.351752, -0.313640, 0.337582, -0.143357, -0.122306, -0.030910, 23.427059
3382, 1505, 9.358934, -0.347159, 0.476446, -0.170536, -0.052493, -0.032775, 23.418236
3392, 1527, 9.481039, -0.383072, 0.732626, -0.178263, -0.005329, -0.026113, 23.418236
3402, 1457, 9.545682, -0.368707, 0.826000, -0.186790, 0.007994, -0.006928, 23.421177
3412, 1493, 9.581595, -0.339977, 0.928950, -0.209972, 0.005596, 0.020518, 23.427059
3422, 1475, 9.588778, -0.356736, 0.984017, -0.245412, 0.000000, 0.055957, 23.432941
3432, 1475, 9.600749, -0.395043, 0.972046, -0.279786, 0.009593, 0.077008, 23.421177
3442, 1478, 9.595961, -0.447716, 1.060631, -0.283516, 0.034107, 0.088466, 23.406471
3452, 1511, 9.660604, -0.474052, 1.189918, -0.281384, 0.049828, 0.101256, 23.424118
3462, 1535, 9.756371, -0.399832, 1.307234, -0.288579, 0.051161, 0.115645, 23.432941
3472, 1535, 9.765948, -0.304064, 1.395820, -0.291243, 0.043700, 0.129501, 23.424118
3482, 1513, 9.797073, -0.244209, 1.350330, -0.290178, 0.035440, 0.141758, 23.412354
3492, 1566, 9.828198, -0.260968, 1.386243, -0.294441, 0.032775, 0.162276, 23.421177
3502, 1565, 9.868899, -0.316035, 1.446098, -0.314159, 0.026913, 0.184392, 23.427059
3512, 1588, 9.854534, -0.383072, 1.493982, -0.339740, 0.020251, 0.198781, 23.409412
